tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
319515,192123,True,Sat Oct 07 10:58:19 +0000 2017,@115850 Below message on WhatsApp true or spam?? https://t.co/29vl8ORWCQ,319514,
463338,225134,True,Fri Dec 01 02:43:19 +0000 2017,"Amazon India ORDER # 406-xxxxxx-xxx1166
Third Class Product I suggest to never Buy This Product, Very Very Bad Product... worth as purchased @ rs 125 As well As Amazon Customer Service (Phone Call) Mr. Sumit Has Very Bad Menar &amp; Valgar Talking With Me.",463337,
2347816,678745,True,Mon Nov 13 17:21:53 +0000 2017,"@AmazonHelp Thanks, but it's not a video, it's a novel",2347818,2347815.0
1769437,531987,True,Tue Nov 07 22:59:16 +0000 2017,"@115821 I had The Grand Tour: Guide to the World pre-ordered in mid-October, when should it be arriving?",1769436,
871136,326826,True,Fri Oct 20 20:17:22 +0000 2017,@AmazonHelp Yeah just clicked on that link tells me to log in and I'm back to the problem..... https://t.co/DDQ4xDEoHX,871135,871137.0
2176896,638071,True,Sun Oct 29 08:17:04 +0000 2017,@AmazonHelp バージョンアップの度にアプリ内でのリマインド広告が増えています。ユーザーは本を読むためにリーダーアプリを使います。買い物をするためではありません。アプリのバージョンは別添の通りです。よろしくお願いします。 https://t.co/UoHrN2BrBe,2176900,2176895.0
142128,148074,True,Fri Nov 24 11:56:55 +0000 2017,"Estoy hasta los .... de los señores de @80, no sé si se ríen de mí, de @116928 o de ambos...",142126,
1409659,447656,True,Wed Nov 01 23:39:27 +0000 2017,@AmazonHelp The delivery date was supposed to be today,1409661,1409658.0
2199017,643189,True,Thu Oct 19 14:06:42 +0000 2017,@AmazonHelp Ya he contactado con el vendedor el cual indica que son ustedes los que tienen el precio mal en la web,2199014,2199023.0
820086,315353,True,Thu Oct 12 22:15:02 +0000 2017,@AmazonHelp Yup I got it... Is there any bews about that version in the future was my question! Thanks anyway,820087,820085.0
2290339,665313,True,Sun Nov 12 08:40:49 +0000 2017,@AmazonHelp ありがとうございます。届きました🤗 https://t.co/thLpT8judS,2290341,2290338.0
1147874,390141,True,Tue Oct 24 14:11:31 +0000 2017,@AmazonHelp is this real? Logged into my account and it says I’m not a prime member which would be right? https://t.co/I3kmoNx1v6,1147873,
324118,193218,True,Sat Oct 07 13:19:24 +0000 2017,@115850 What's the point in charging extra for quick delivery when your courier cares two hoots and deliberately delays?,324117,
2964070,817838,True,Wed Nov 29 22:34:34 +0000 2017,@AmazonHelp Una máscara y el HC de The Dark Knight Saga para saber como comportarse 😄,2964071,2964069.0
2033196,601204,True,Wed Nov 08 08:16:00 +0000 2017,Update on @115830 sending me a box of Capri sun instead of my Xbox Scorpio - they have now told me I have to pay £190 more to get what I ordered.  What the 🤬🤯 https://t.co/vjqTg2sABQ,"2033194,2033210,2033211",
2869548,796860,True,Tue Nov 28 01:54:35 +0000 2017,@115821 @AmazonHelp So not only did your delivery guy lied about how he delivered my package.. he also shot a free throw FTW! https://t.co/9MxV3bTBxg https://t.co/orONGaE24f,2869547,
1140914,388555,True,Tue Oct 24 14:30:22 +0000 2017,@115821 thank you soooo much for holding off my delivery that I was expecting and not actually delivering it because no one was there!!,1140913,
1145926,389713,True,Tue Oct 24 14:12:05 +0000 2017,"@AmazonHelp No luckily, but who knows with the state it was them!",1145928,1145925.0
2879530,799143,True,Tue Nov 28 07:31:53 +0000 2017,Hey @120533 je pense qu'il y a une faute de frappe dans la page Prime de mon compte ! https://t.co/EnnQAB53nt,2879529,
2945543,813628,True,Wed Nov 29 15:25:02 +0000 2017,It's been a week and I still haven't received my copy of Xanathars guide to everything that I per-ordered from @115830 Not happy!,2945541,
2915902,807107,True,Tue Nov 28 23:07:52 +0000 2017,んーAmazonのプライム会員になろうかな,2915901,
