id,tweet_id,text,created_at,conversation_id,gold_intent
1,13173,@115821 STOP USING THE @118706 They are a useless government entity.,Wed Nov 01 01:51:01 +0000 2017,13171,general_unclear
2,27389,@120474 have priority for the morrisey tour and trying to get tickets but it is saying I’m exceeding minimum tickets?!,Wed Nov 01 10:07:16 +0000 2017,27388,general_unclear
3,53268,@AmazonHelp Yes. I use it daily. The connection is fine. Alexa can’t understand to play The U2 Experience through my Sonos. (If will generally play any thing else I ask it to. And plays the u2 stream fine through the dot),Thu Nov 30 20:40:06 +0000 2017,53266,general_unclear
4,77372,"@AmazonHelp Amazon themselves, cancelled the order and ordered a (more expensive) similar item cause it wasn't to be in stock till first week of January after ordering Wednesday last week and it saying it was to be delivered today. Having so many problems with Amazon recently.",Thu Nov 30 12:28:43 +0000 2017,77374,general_unclear
5,93560,Was ich auf @116316 bestellt hab und was ankam... https://t.co/m02qNrxNfF,Thu Nov 30 15:35:29 +0000 2017,93559,general_unclear
6,129712,@AmazonHelp Chat support gave me an email address and phone option. That's not the point why have chat support if they are rude and untrained?,Fri Nov 24 12:45:56 +0000 2017,129714,general_unclear
7,141011,"@AmazonHelp But i dont appreciate and you dont understand.. kindly think twice and then answer my query.. if a product has no warranty if purchase made via global brand store of @115850 @115821 why we should even spend a penny where the cost of the product is more than INR10,000",Thu Nov 23 18:30:15 +0000 2017,141010,general_unclear
8,155090,"@AmazonHelp Como sé que lo está? Según yo si, porque entro a https://t.co/XmU0hlICQt con la misma cuenta que tengo en Kindle",Fri Nov 24 16:56:10 +0000 2017,155089,account_access
9,175367,"@AmazonHelp Difficulté à avoir du stock.
Or, @157182 annonce un réassort le 5 Décembre et jusqu'à présent on m'avait promis une livraison à cette période. Maintenant on annule à nouveau cela signifie que @157182  à donc menti (une fois de plus) sur le réassort ?",Fri Nov 24 23:48:45 +0000 2017,175366,general_unclear
10,179477,"@AmazonHelp Great!
Psst, this speaks abt an Indian eShopper’s preferences. You may want to use this for redesigning your Web layout
- A loyal customer 😉",Thu Oct 05 04:17:56 +0000 2017,179479,general_unclear
11,183002,@159041 @159042 Balls... I pre-ordered digital for Xbox too from @AmazonHelp and they've not sent anything!,Wed Oct 04 16:53:15 +0000 2017,183001,general_unclear
12,183318,@115850 Not interested with your solutions @115850 #GreatIndianFestival is the most pathetic time to shop from your site.,Wed Oct 04 10:57:35 +0000 2017,183317,general_unclear
13,206769,"It's good when you order something with @115830 prime and it doesn't get delivered the next day, despite being ""out for delivery"" 😑",Wed Oct 04 21:46:51 +0000 2017,206766,delivery_issue
14,225000,Amazon届いたやったあぁああああああ,Thu Oct 05 05:54:56 +0000 2017,224999,thank_you
15,226695,@AmazonHelp Ok Thanks. I will until Monday. Tomorrow it's seven days. Thanks for the information,Thu Oct 05 07:20:07 +0000 2017,226693,thank_you
16,237708,@AmazonHelp Already did,Tue Oct 03 12:01:04 +0000 2017,237707,general_unclear
17,238450,@AmazonHelp I did! But to decrease the hassles you can have a text or a call service perhaps. Or do it here. Much easier.,Fri Oct 06 02:26:25 +0000 2017,238451,general_unclear
18,239455,.@115821 One Day Delivery #fail. Should have been in today. It isn’t. Now they say maybe sometime in the next week. @118706 #fail #primefail #uspsfail #failfail,Sat Nov 25 02:21:25 +0000 2017,239454,delivery_issue
19,250653,@AmazonHelp but not recd any response so bad service,Fri Oct 06 05:16:12 +0000 2017,250654,delivery_issue
20,253400,"2/2
Smart move: always underpromises and over delivers.
A shipment promised on 7th got delivered today.
@115850 provides ideal service",Thu Oct 05 17:37:02 +0000 2017,253399,thank_you
21,255474,"@AmazonHelp My account is amazon.ca ,can i use this link?",Thu Oct 05 19:01:16 +0000 2017,255476,general_unclear
22,270271,@AmazonHelp That is the correct order.,Fri Oct 06 01:49:21 +0000 2017,270269,general_unclear
23,277123,"@AmazonHelp That's impossible for me to share, very complex procedures for solving issues",Sat Oct 14 13:40:30 +0000 2017,277122,general_unclear
24,282714,@115850 I wanted to know whom can I contact for sponsorship?,Wed Sep 27 05:13:48 +0000 2017,282712,general_unclear
25,282733,@115850 Send me link of this deal on amazon.in #AmazonGreatIndianFestival,Fri Oct 06 12:28:25 +0000 2017,294345,general_unclear
26,301520,"@AmazonHelp Hi, I wanted to sign up for a 7 days free trial, for Prime Video, but i got charged 3 euro, even though it said it was free",Fri Oct 06 21:00:19 +0000 2017,301519,prime_issue
27,306154,@AmazonHelp It keeps saying my password is incorrect but I know I'm using the right password. I called yesterday &amp; they said something about a hold.,Fri Oct 06 23:15:23 +0000 2017,306156,account_access
28,314986,"@AmazonHelp SIR DO SOMETHING URGENT,ITS ALREADY SINCE 10- 15 DAYS I AM REGULARLY COMPLAINING.BUT YOU PEOPLE DONE NOTHING CONCRETE.",Tue Oct 10 02:26:46 +0000 2017,314987,general_unclear
29,365611,@AmazonHelp Okay. Ich werd ihn/sie nicht zu heiß baden 😅😜,Sun Oct 08 20:07:00 +0000 2017,365609,general_unclear
30,371432,@116875 oigan! Necesito ayuda..: encargué algo y ya lleva más de 1 semana de retraso... quiero cancelar y mi dinero de vuelta... como?,Sun Oct 08 22:53:45 +0000 2017,371429,refund_return
