intent_name,description,example_text
delivery_delayed,Customer states that an ordered item has not arrived on time or is asking for its current status/location.,"A free month of Prime? Thanks Amazon, another month of lost packages and delayed orders is just the ticket."
delivery_delayed,Customer states that an ordered item has not arrived on time or is asking for its current status/location.,"@AmazonHelp 
still waiting for rpy from ur end, filled the details as per asked by you.."
delivery_delayed,Customer states that an ordered item has not arrived on time or is asking for its current status/location.,Love that @115821 messed up my order and delayed I️t 😑😑😑 #BillyFalconProblems
delivery_delayed,Customer states that an ordered item has not arrived on time or is asking for its current status/location.,"@AmazonHelp Well attempting to load the order   webpage as well as track some items on Amazon.ca I received the following error message There was an internal error in our system. We logged the problem and will investigate it later. Our apologies for the inconvenience. 
 Help"
delivery_delayed,Customer states that an ordered item has not arrived on time or is asking for its current status/location.,"It's  been 3 days since ordered sonething and I've not yet confirmed about the delivery date. On the name of fast delivery, you're charging much more but making the standard delivery only. I've opted for a faster delivery that is 2~4 days. Is this your fast delivery?
@AmazonHelp"
item_damaged,"Customer received their package, but the product or packaging is physically damaged.","@AmazonHelp hi Amazon, I don't find this delivery of my book acceptable. You have ruined it, what are the next steps? https://t.co/Agxpw30Fme"
item_damaged,"Customer received their package, but the product or packaging is physically damaged.","@AmazonHelp Exact same items sent to me, damaged, 3 times in a row. Nobody willing to help prevent this from happening, no solution. Release-day delivery order delayed for 3 days. Nobody willing to help get it delivered the next day. Amazon sure knows how to treat their customers"
item_damaged,"Customer received their package, but the product or packaging is physically damaged.","@AmazonHelp Hi, I have a problem with my order on amazon.it, as 1 item was missing, and another one was slightly damaged"
item_damaged,"Customer received their package, but the product or packaging is physically damaged.",@AmazonHelp Nothing was damaged. I happened to have been checking in the tracking all day. But there was no knock. This is my front door. The common sense Place would have been right there. https://t.co/R3LMjbKhG7
item_damaged,"Customer received their package, but the product or packaging is physically damaged.","@AmazonHelp pop vinyls arrived today...damaged. It's always happening, no protection around them. Refund started, joke of a company."
item_missing,"Customer received a delivery, but something that was supposed to be inside the package is missing.",So @115821 customer service is now on my shit list! Unbelievable! An empty box and refuse to refund....
item_missing,"Customer received a delivery, but something that was supposed to be inside the package is missing.",@115821 Ryan in customer support. was very helpful in helping me with dealing with a kit that was missing items. Thanks.
item_missing,"Customer received a delivery, but something that was supposed to be inside the package is missing.","@AmazonHelp I did not receive anything I changed the password from amazon website but it did not work, even if i write the code it says incorrect"
item_missing,"Customer received a delivery, but something that was supposed to be inside the package is missing.",Yet another @115821 package not delivered on time. I believe that makes 6 bad delivery day packages with 2 that were wrong/missing items in the last 3 months. Why am I paying for Prime?
item_missing,"Customer received a delivery, but something that was supposed to be inside the package is missing.","@AmazonHelp No,I did not receive any new email from your company side. But if you people cannot fix this, then, Thank You Very Much. GoodBye Amazon Bye"
refund_return,Customer wants to return an item they possess or is asking about the status of a refund.,@115850 what's happened to your after sales service?! I've been struggling to return a product for 4 days straight now. #Frustrated
refund_return,Customer wants to return an item they possess or is asking about the status of a refund.,@115850 Now I don't want that product to be delivered. I just want refund for my order. Didn't expect such bad service from @115850 .
refund_return,Customer wants to return an item they possess or is asking about the status of a refund.,"@115821 After suffering loss  customer has nothing in hand neither item nor his money then why you lure customer to send item by currier if u are not able to refund him 
This is your reply 
However, as mentioned earlier by A-Z guarantee claim on 19th October, the claim was denied."
refund_return,Customer wants to return an item they possess or is asking about the status of a refund.,@115850 I am ready for the new view I bought one plus 5 it's one month old what will do for that so kindly exchange my old one plus 5 and I can buy new one plus 5T with better price.
refund_return,Customer wants to return an item they possess or is asking about the status of a refund.,@115821 are people are not vele.@115850 you should open mutual fund. Take money and refund after a year without any interest. https://t.co/WeeDCj0Wxr
payment_issue,"Issues regarding billing, incorrect charges, gift cards not working, or promo codes.",@115821 @115830 are US purchased gift cards usable on the U.K. site? What kind of conversion or exchange rate is used in doing so if possible
payment_issue,"Issues regarding billing, incorrect charges, gift cards not working, or promo codes.","@153820 @115821 u guys scamming me . putting my account in hold also saying for ur safety but to scam me , and don't give me any support just telling me to send u guys my last gift card receipt with fax and I send it 10times for u guys still my account in hold , such obvious scamming shame on u"
payment_issue,"Issues regarding billing, incorrect charges, gift cards not working, or promo codes.",@AmazonHelp So what do I do. I’m trying to buy my sister something for Christmas but it’s not accepting the gift card do I dm you
payment_issue,"Issues regarding billing, incorrect charges, gift cards not working, or promo codes.","@AmazonHelp If calling in was helping, I wouldn't be here! I'd have my account, content, and gift card balances back!"
payment_issue,"Issues regarding billing, incorrect charges, gift cards not working, or promo codes.","@115821 why does it seem that free 2-day shipping is a thing of the past?  Also, my promo code, from the product’s site, will not work."
account_access,"Customer cannot access their Amazon account due to forgotten passwords, bans, holds, or security issues.",@AmazonHelp i'm unable to add another account to my amazon fire even though im putting in the correct password everytime.
account_access,"Customer cannot access their Amazon account due to forgotten passwords, bans, holds, or security issues.",@AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked.
account_access,"Customer cannot access their Amazon account due to forgotten passwords, bans, holds, or security issues.","Someone had hacked my amazon kindle  account while I was as 1/2 way thru ""The Break"", gutted! Help please Amazon!"
account_access,"Customer cannot access their Amazon account due to forgotten passwords, bans, holds, or security issues.",@AmazonHelp Now it won't let me sign into my account its saying my password is wrong
account_access,"Customer cannot access their Amazon account due to forgotten passwords, bans, holds, or security issues.",To whoever hacked my Amazon account and changed the email.... I look forward to seeing what you can buy with the $0.64 in my bank account.😏😂
prime_subscription,"Questions, complaints, or billing issues specifically regarding the Amazon Prime subscription or its digital services (like Prime Video).","Hey @AmazonHelp, I did log into kindle &amp; did stream around 15 mins if video on Amazon Prime w/ all new OP 5. No Amzn Pay &amp; Promo credit rcvd"
prime_subscription,"Questions, complaints, or billing issues specifically regarding the Amazon Prime subscription or its digital services (like Prime Video).",@AmazonHelp Why do I pay for Amazon prime and pre-order games if it doesn't guarantee me timely delivery?
prime_subscription,"Questions, complaints, or billing issues specifically regarding the Amazon Prime subscription or its digital services (like Prime Video).","Dear @AmazonHelp i purchased Amazon Prime because of ""guaranteed shipping"" for my nephews bday, make sure the stuff gets there on time...mine is at least 3 days late. Thanks."
prime_subscription,"Questions, complaints, or billing issues specifically regarding the Amazon Prime subscription or its digital services (like Prime Video).",@115821 @AmazonHelp I just renewed my Amazon prime and it was completely pointless
