customer_tweet_id,customer_text,support_tweet_id,response_text,created_at,conversation_id
1502802,@AmazonHelp This is not my question. I asked for Escalation matrix,1502801,@324114 so that we can get back to you with a best resolution. (2/2) ^SU,Fri Nov 03 15:59:00 +0000 2017,1502807
2806605,Never ever ordering anything from @115821 's global store. They take 🦆ing ages to deliver.,2806604,@782776 Seems like you have a concern with the delivery of the product from our Global Store. Does any of your issue go unattended? ^SF,Wed Nov 22 03:54:00 +0000 2017,2806605
281956,@AmazonHelp man it’s day 11 and I still don’t have my refund,281955,@183169 That is very unusual. Please contact us again and we'll investigate it for you. ^AT,Fri Oct 06 11:50:50 +0000 2017,281956
1093280,@AmazonHelp Meenakshi Roy  9920527436,1093282,"@378013 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^AH",Mon Oct 16 12:39:00 +0000 2017,1093271
1389537,Ciao @120540 vorrei scrivere di Amazon Key. Chi è disponibile di voi?,1389536,@443093 Amazon Key al momento è disponibile solo in USA. Per ulteriori dettagli contattaci cliccando qui https://t.co/OsrVjNtIpE . ^BC,Sat Oct 28 11:03:10 +0000 2017,1389537
226644,@115850  Look what I ordered and what I received https://t.co/Dm9IVmnCiy,226643,@170102 Sorry about that. Kindly return it here: https://t.co/wD2g4bGb6h ^NS,Thu Oct 05 07:26:57 +0000 2017,226644
2322216,"@115821 has given me the worst service I have ever had from them, not happy at all &gt;:(",2322215,"@672911 I'm sorry to hear this Aimee. Without posting personal information, are you able to elaborate on the issue? We'd like to help. ^PK",Mon Nov 13 14:29:32 +0000 2017,2322216
513448,@AmazonHelp who do I contact when my order is incomplete? I have received only part of my order when it should be coming together.,513446,"@238165 Thanks for reaching out, Beka! Sometimes single orders will arrive in multiple shipments. You can learn more about tracking your packages here: https://t.co/Q204o7LRXp If you're still missing part of your order, please let us know! We're here to help if possible! ^EA",Sat Dec 02 00:13:00 +0000 2017,513448
1387074,"@AmazonHelp again after asking every detail, get the same answer, our Account Specialist Team get back to you soon... that's what I'm asking you WHEN?😡😡😡 https://t.co/cF0tX8TXgs",1387075,"@442762 I'm sorry you don't have access to your account yet. We'll not be able to check your information on Twitter. So kindly reply to our email correspondence with your concerns, we'll get back to you at the earliest. ^SC",Wed Nov 22 06:13:00 +0000 2017,1387084
2793117,"@AmazonHelp I was told I am eligible. I can't file it as you have to go through the my orders tab. Since I didn't order it on the Amazon site but on another site I can do that! Amazon pay is supposed to a secure way to order stuff, why can Amazon issue the claim after all my contact????",2793118,@140847 So sorry for the confusion. Here is where you can submit a claim for Amazon Pay A to Z claims: https://t.co/9Zh7IKKw1k ^BA,Tue Nov 21 22:07:13 +0000 2017,2793115
351907,@AmazonHelp The page where it semds me has no assistance on my issue. I will just delete my account completely cause I can’t be bothered for this long,351906,@199695 could you please try this link : https://t.co/MBTDQi7u2J ^ME,Mon Oct 02 15:03:31 +0000 2017,351913
1259944,"@119625 , Wrong subtitle is playing in Seinfeld Season 5 episode 7 and Subtitle is wrongly synced in Seinfeld Season 5 episode 9.",1259943,@415197 Thanks for flagging this. We'll get it fixed internally. ^JC,Thu Oct 26 09:34:00 +0000 2017,1259944
1626649,"https://t.co/wcCGl2tjuT #AlexaSkills @115833 @134258 

This does NOT work from the Alexa app and the skill will NOT enable.  😡😠😡😠",1626648,@498080 I'm sorry this skill is not working as it should. Please call us directly for troubleshooting help: https://t.co/hApLpMlfHN ^JF,Sun Nov 05 18:53:06 +0000 2017,1626649
481632,"@148273 @120533 @AmazonHelp Colis parti de chez Amz. ColisPrivé me dit ""Bonjour, Nous n’avons toujours pas reçu dans nos services votre colis. Nous ne sommes pas en charge du transport entre les entrepôts de votre expéditeur et les notre je n'ai pas plus d'information"". Il faut voir avec Amazon ! SOS !!",481631,"@229477 Bonjour, Avez-vous contacté notre servie client à ce propos afin d'effectuer des recherches et vous proposer une solution ^ME",Fri Dec 01 14:03:29 +0000 2017,481633
2220196,Amazonの購入画面で謎エラーが出て購入出来ない。明日中に届いて欲しいのにー。うーん。,2220195,@648483 ご不便をおかけしております。恐れ入りますが、ご利用端末の種類、ご利用ブラウザorアプリの種類、エラーメッセージの文言をお知らせください。また、ご利用端末の再起動を行った上で問題が改善するか否かもご確認下さい。 HM,Fri Nov 10 12:57:30 +0000 2017,2220196
680734,"@115821 I’ve only just gone and experienced some of the best customer care, in life! Thank John from #amazon #CustomerService You guys really are smashing it!",680733,@282436 Delighted to hear it. Thanks for letting us know! :).^BZ,Thu Nov 23 08:31:00 +0000 2017,680735
1741904,"J'ai commandé y'a 10 jours, et la date de livraison ne fait qu'être repoussée...
@120533 https://t.co/guP5rJgapW",1741902,"@525469 Bonsoir , je suis désolée d'apprendre cela.
Quel est le transporteur qui prend en charge votre livraison je vous prie ? ^BR",Tue Oct 17 20:04:32 +0000 2017,1741904
2401807,È appena arrivato un eroe (il corriere amazon) e mi ha portato ciò 💞💞💞 https://t.co/n36eQhZYGz,2401806,@691020 Siamo corsi da te! Facci sapere se ti piacciono 🎤🐶📚! ^ZC https://t.co/QlAr0DI6oP,Fri Oct 20 13:35:07 +0000 2017,2401807
1443108,@AmazonHelp Hey y'all. So your driver is delivering my things today and he seems lost. Do you need me to assist him. He's been driving around my apartment complex I a circle for about 10 minutes now,1443110,@454853 Who is the carrier of your order? Please check here:  https://t.co/f9YYFon35b ^BE,Sun Nov 26 17:55:40 +0000 2017,1443109
2930683,@AmazonHelp Yes and nothing so not sure what i can do. It’s money im owed!,2930684,"@810680 Normallyy refunds take 5-7 business days, can you get in touch with us here: https://t.co/JzP7hlA23B, we can help ^AS",Thu Nov 30 07:57:00 +0000 2017,2930681
